"N° CAS";"NOM SA";"CLASSEMENT RÉFÉRENCE";"CLASSEMENT DATE";"CLASSEMENT CATÉGORIE DANGER";"CLASSEMENT CODE H";"CLASSEMENT MENTION DANGER";"FACTEUR M VALEUR";"FACTEUR M ORIGINE";"FACTEUR M DATE"
"111479-05-1";"propaquizafop";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";10/10/14
"181274-15-7";"propoxycarbazone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";
"181274-15-7";"propoxycarbazone";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";
"23950-58-5";"propyzamide";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";18/06/13
"23950-58-5";"propyzamide";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";18/06/13
"23950-58-5";"propyzamide";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"189278-12-4 ";"proquinazid";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"189278-12-4 ";"proquinazid";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";
"189278-12-4 ";"proquinazid";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";
"52888-80-9";"prosulfocarbe";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"52888-80-9";"prosulfocarbe";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"52888-80-9";"prosulfocarbe";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"94125-34-5";"prosulfuron";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"94125-34-5";"prosulfuron";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";14/05/13
"94125-34-5";"prosulfuron";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";14/05/13
"178928-70-6";"prothioconazole";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";11/03/21
"178928-70-6";"prothioconazole";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";11/03/21
"175013-18-0";"pyraclostrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";10/08/09
"175013-18-0";"pyraclostrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";10/08/09
"175013-18-0";"pyraclostrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"175013-18-0";"pyraclostrobine";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"129630-19-9";"pyraflufen ethyl";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";01/06/16
"129630-19-9";"pyraflufen ethyl";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"ANSES";01/06/16
"8003-34-7";"pyrethrines";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";18/02/14
"8003-34-7";"pyrethrines";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"8003-34-7";"pyrethrines";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie cutanée), catégorie 4";"H312";"Nocif par contact cutané";;"";
"8003-34-7";"pyrethrines";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";18/02/14
"8003-34-7";"pyrethrines";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"96489-71-3";"pyridabene";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"UE";24/07/15
"96489-71-3";"pyridabene";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"96489-71-3";"pyridabene";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"UE";24/07/15
"96489-71-3";"pyridabene";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"55512-33-9";"pyridate";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";18/01/17
"55512-33-9";"pyridate";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";18/01/17
"55512-33-9";"pyridate";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"55512-33-9";"pyridate";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"55512-33-9";"pyridate";"Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008)";04/10/19;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"53112-28-0";"pyrimethanil";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"23103-98-2";"pyrimicarbe";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par inhalation), catégorie 3";"H331";"Toxique par inhalation";;"";
"23103-98-2";"pyrimicarbe";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Toxicité aiguë (par voie orale), catégorie 3";"H301";"Toxique en cas d'ingestion";;"";
"23103-98-2";"pyrimicarbe";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"23103-98-2";"pyrimicarbe";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";19/07/16
"23103-98-2";"pyrimicarbe";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";19/07/16
"23103-98-2";"pyrimicarbe";"Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008)";19/07/16;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"29232-93-7";"pyrimiphos-methyl";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1";"H372";"Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"29232-93-7";"pyrimiphos-methyl";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"UE";19/05/20
"29232-93-7";"pyrimiphos-methyl";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"UE";19/05/20
"29232-93-7";"pyrimiphos-methyl";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"688046-61-9";"pyriofénone";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"688046-61-9";"pyriofénone";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";11/03/21
"95737-68-1";"pyriproxyfen";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";19/06/18
"95737-68-1";"pyriproxyfen";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";19/06/18
"422556-08-9";"pyroxsulame";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";04/10/18
"422556-08-9";"pyroxsulame";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"422556-08-9";"pyroxsulame";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";04/10/18
"90717-03-6";"Quinmerac";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";14/01/20;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";21/05/19
"90717-03-6";"Quinmerac";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";14/01/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"ANSES";21/05/19
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"2797-51-5";"quinoclamine";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"100646-51-3";"quizalofop-P-ethyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"ANSES";16/04/13
"100646-51-3";"quizalofop-P-ethyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"ANSES";16/04/13
"100646-51-3";"quizalofop-P-ethyl";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"122931-48-0";"rimsulfuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"ANSES";30/05/13
"122931-48-0";"rimsulfuron";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"ANSES";30/05/13
"874967-67-6";"sedaxane";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"874967-67-6";"sedaxane";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";11/03/21
"874967-67-6";"sedaxane";"Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008)";11/03/21;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"UE";11/03/21
"175217-20-6";"silthiofam";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"175217-20-6";"silthiofam";"Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008)";19/05/20;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"130561-48-7";"sintofen";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Cancérogénicité, catégorie 2";"H351";"Susceptible de provoquer le cancer";;"";
"130561-48-7";"sintofen";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";;"Dangers pour le milieu aquatique - Danger chronique, catégorie 2";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme";;"";
"87392-12-9";"s-metolachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";;"";
"87392-12-9";"s-metolachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"87392-12-9";"s-metolachlore";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";;"";
"7704-34-9";"soufre";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"935545-74-7 (Spinetoram)";"spinetoram";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/03/16;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"ANSES";18/03/16
"935545-74-7 (Spinetoram)";"spinetoram";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/03/16;"Toxicité pour la reproduction, catégorie 2(f)";"H361f";"Susceptible de nuire à la fertilité ";;"";
"935545-74-7 (Spinetoram)";"spinetoram";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/03/16;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"935545-74-7 (Spinetoram)";"spinetoram";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/03/16;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";18/03/16
"935545-74-7 (Spinetoram)";"spinetoram";"Classement adapté par l'ANSES selon les règles de traduction du règlement CLP";15/03/16;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"168316-95-8";"spinosad";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10;"UE";10/11/16
"168316-95-8";"spinosad";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";10/11/16
"148477-71-8";"spirodiclofen";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"148477-71-8";"spirodiclofen";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Toxicité pour la reproduction, catégorie 2(f)";"H361f";"Susceptible de nuire à la fertilité ";;"";
"148477-71-8";"spirodiclofen";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Sensibilisation cutanée, catégorie 1B";"H317";"Peut provoquer une allergie cutanée";;"";
"148477-71-8";"spirodiclofen";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Cancérogénicité, catégorie 1B";"H350";"Peut provoquer le cancer";;"";
"148477-71-8";"spirodiclofen";"Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008)";04/10/18;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";04/10/18
"203313-25-1";"spirotetramate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1;"UE";24/07/15
"203313-25-1";"spirotetramate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"203313-25-1";"spirotetramate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Sensibilisation cutanée, catégorie 1A";"H317";"Peut provoquer une allergie cutanée";;"";
"203313-25-1";"spirotetramate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité pour la reproduction, catégorie 2(fd)";"H361fd";"Susceptible de nuire à la fertilité. Susceptible de nuire au foetus";;"";
"203313-25-1";"spirotetramate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3";"H335";"Peut irriter les voies respiratoires";;"";
"203313-25-1";"spirotetramate";"Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008)";24/07/15;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";24/07/15
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité aiguë (par voie cutanée), catégorie 4";"H312";"Nocif par contact cutané";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Toxicité aiguë (par inhalation), catégorie 4";"H332";"Nocif par inhalation";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Sensibilisation cutanée, catégorie 1";"H317";"Peut provoquer une allergie cutanée";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";100;"UE";04/05/17
"118134-30-8";"spiroxamine";"Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008)";04/05/17;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";100;"UE";04/05/17
"99105-77-8";"sulcotrione";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2";"H373";"Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée";;"";
"99105-77-8";"sulcotrione";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Toxicité pour la reproduction, catégorie 2(d)";"H361d";"Susceptible de nuire au foetus";;"";
"99105-77-8";"sulcotrione";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Sensibilisation cutanée, catégorie 1A";"H317";"Peut provoquer une allergie cutanée";;"";
"99105-77-8";"sulcotrione";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";10;"UE";02/10/13
"99105-77-8";"sulcotrione";"Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008)";02/10/13;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1;"UE";02/10/13
"7782-63-0";"sulfate de fer";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Toxicité aiguë (par voie orale), catégorie 4";"H302";"Nocif en cas d'ingestion";;"";
"7782-63-0";"sulfate de fer";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Irritant pour la peau, catégorie 2";"H315";"Provoque une irritation cutanée";;"";
"7782-63-0";"sulfate de fer";"Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008)";10/08/09;"Irritation oculaire, catégorie 2";"H319";"Provoque une sévère irritation des yeux";;"";
"141776-32-1";"Sulfosulfuron";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";1000;"UE";
"141776-32-1";"Sulfosulfuron";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"UE";
"102851-06-9";"tau-fluvalinate";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger aigu, catégorie 1";"H400";"Très toxique pour les organismes aquatiques";10000;"ANSES";14/05/13
"102851-06-9";"tau-fluvalinate";"Règlement (CE) N°1272/2008 (ATP 0)";16/12/08;"Dangers pour le milieu aquatique - Danger chronique, catégorie 1";"H410";"Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme";1000;"ANSES";14/05/13
