"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"173159-57-4";"foramsulfuron";"Log P";"+0,6";"";20;"5,6";""
"173159-57-4";"foramsulfuron";"pka";"4,6";"";21,5;"";""
"173159-57-4";"foramsulfuron";"Pression de vapeur";"1.3x10^-10";"Pa";25;"";""
"173159-57-4";"foramsulfuron";"Pression de vapeur";"4.2x10^-11";"Pa";20;"";""
"173159-57-4";"foramsulfuron";"Solubilité dans l'eau";"94577";"mg/L";20;"8";""
"173159-57-4";"foramsulfuron";"Solubilité dans l'eau";"37.2";"mg/L";20;"5";""
"173159-57-4";"foramsulfuron";"Solubilité dans l'eau";"3293";"mg/L";20;"7";""
"68157-60-8";"forchlorfenuron";"Constante de Henry";"2,922 10-7";"Pa.m3/mol";;"";""
"68157-60-8";"forchlorfenuron";"Log P";"3,3";"";20;"10";""
"68157-60-8";"forchlorfenuron";"Log P";"3,3";"";20;"4 à 7";""
"68157-60-8";"forchlorfenuron";"Pression de vapeur";"0,046";"µPa";25;"";""
"68157-60-8";"forchlorfenuron";"Solubilité dans l'eau";"39";"mg/L";20;"5 à 9";""
"23422-53-9";"formetanate";"Constante de Henry";"5x10^-10";"Pa.m3/mol";;"";""
"23422-53-9";"formetanate";"Log P";"0,83";"";20;"10";""
"23422-53-9";"formetanate";"Log P";"-1,03";"";20;"4";""
"23422-53-9";"formetanate";"Log P";"-0,0014";"";20;"7";""
"23422-53-9";"formetanate";"pka";"8,1";"";25;"";""
"23422-53-9";"formetanate";"Pression de vapeur";"1.6x10^-6";"Pa";25;"";""
"23422-53-9";"formetanate";"Solubilité dans l'eau";"822";"g/L";25;"";""
"23422-53-9";"formetanate";"Solubilité dans l'eau";">500";"g/L";20;"4";""
"23422-53-9";"formetanate";"Solubilité dans l'eau";"13.8";"g/L";20;"10";""
"39148-24-8";"fosetyl-al";"Constante de Henry";"<3.2 e-10";"Pa.m3/mol";20;"";""
"39148-24-8";"fosetyl-al";"Log P";"-2,11";"";22;"6";""
"39148-24-8";"fosetyl-al";"pka";"4,7";"";20;"";""
"39148-24-8";"fosetyl-al";"Pression de vapeur";"<0.1";"µPa";25;"";""
"39148-24-8";"fosetyl-al";"Solubilité dans l'eau";"109.8";"g/L";20;"8,6";""
"39148-24-8";"fosetyl-al";"Solubilité dans l'eau";"111.3";"g/L";20;"6";""
"39148-24-8";"fosetyl-al";"Solubilité dans l'eau";"111.4";"g/L";20;"5,1";""
"98886-44-3";"fosthiazate";"Constante de Henry";"1.76 e-5";"Pa.m3/mol";;"";""
"98886-44-3";"fosthiazate";"Log P";"1,68";"";25;"";""
"98886-44-3";"fosthiazate";"pka";"";"";;"";""
"98886-44-3";"fosthiazate";"Pression de vapeur";"5.1";"mPa";45;"";""
"98886-44-3";"fosthiazate";"Pression de vapeur";"2.1";"mPa";35;"";""
"98886-44-3";"fosthiazate";"Pression de vapeur";"0.56";"mPa";25;"";""
"98886-44-3";"fosthiazate";"Solubilité dans l'eau";"9.46";"g/L";25;"9";""
"98886-44-3";"fosthiazate";"Solubilité dans l'eau";"9.0";"g/L";25;"7";""
"98886-44-3";"fosthiazate";"Solubilité dans l'eau";"9.88";"g/L";25;"5";""
"76703-62-3";"gamma cyhalothrine";"Constante de Henry";"0,0221";"Pa.m3/mol";;"";""
"76703-62-3";"gamma cyhalothrine";"Log P";"4,96";"";19;"";""
"76703-62-3";"gamma cyhalothrine";"pka";"";"";;"";""
"76703-62-3";"gamma cyhalothrine";"Pression de vapeur";"3,45x10-7";"Pa";20;"";""
"76703-62-3";"gamma cyhalothrine";"Solubilité dans l'eau";"2,1";"µg/L";20;"";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Constante de Henry";"2x10^-5 à 0,065";"Pa.m3/mol";;"";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Log P";"0,146";"";20;"7";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Log P";"2,25";"";20;"";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Log P";"2,34";"";20;"";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Log P";"2,47";"";20;"4";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Log P";"-1,23";"";20;"10";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"pka";"4,3";"";23;"";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Pression de vapeur";"7,68x10^-6à0,16";"Pa";;"";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Solubilité dans l'eau";">250";"g/L";20;"9";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Solubilité dans l'eau";"40";"g/L";20;"7";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Solubilité dans l'eau";"141";"mg/L";20;"4";""
"8030-53-3 (mélange)";"gibberelline A4 A7";"Solubilité dans l'eau";"127";"mg/L";20;"";""
"1071-83-6";"glyphosate";"Constante de Henry";"2.1x10^-7";"Pa.m3/mol";25;"";""
"1071-83-6";"glyphosate";"Log P";"-3,2";"";25;"";""
"1071-83-6";"glyphosate";"pka";"+2,34";"";20;"";""
"1071-83-6";"glyphosate";"pka";"+5,73";"";20;"";""
"1071-83-6";"glyphosate";"pka";"";"";;"";""
"1071-83-6";"glyphosate";"Pression de vapeur";"1,31x10^-5";"Pa";25;"";""
"1071-83-6";"glyphosate";"Solubilité dans l'eau";"10.5";"g/L";20;"2";""
"943831-98-9";"halauxifen-methyl";"Constante de Henry";"1,23 x 10^-6";"Pa.m3/mol";;"5";""
"943831-98-9";"halauxifen-methyl";"Constante de Henry";"1,22 x 10^-6";"Pa.m3/mol";;"7";""
"943831-98-9";"halauxifen-methyl";"Constante de Henry";"1,20 x 10^-6";"Pa.m3/mol";;"9";""
"943831-98-9";"halauxifen-methyl";"Constante de Henry";"1,11 x 10^-6";"Pa.m3/mol";;"";""
"943831-98-9";"halauxifen-methyl";"Log P";"3,92";"";20;"9";""
"943831-98-9";"halauxifen-methyl";"Log P";"3,76";"";20;"7";""
"943831-98-9";"halauxifen-methyl";"Log P";"3,75";"";20;"5";""
"943831-98-9";"halauxifen-methyl";"pka";"2,84";"";19,9;"";""
"943831-98-9";"halauxifen-methyl";"Pression de vapeur";"5,9 x 10^-9";"Pa";20;"";""
"943831-98-9";"halauxifen-methyl";"Pression de vapeur";"1,5 x 10^-8";"Pa";25;"";""
"943831-98-9";"halauxifen-methyl";"Solubilité dans l'eau";"1,66";"mg/L";20;"5";""
"943831-98-9";"halauxifen-methyl";"Solubilité dans l'eau";"1,83";"mg/L";20;"";""
"943831-98-9";"halauxifen-methyl";"Solubilité dans l'eau";"1,69";"mg/L";20;"9";""
"943831-98-9";"halauxifen-methyl";"Solubilité dans l'eau";"1,67";"mg/L";20;"7";""
"72619-32-0";"haloxyfop-R : ester methylique";"Constante de Henry";"1.2e-3";"Pa.m3/mol";;"";""
"72619-32-0";"haloxyfop-R : ester methylique";"Log P";"4";"";20;"";""
"72619-32-0";"haloxyfop-R : ester methylique";"pka";"";"";;"";""
"72619-32-0";"haloxyfop-R : ester methylique";"Pression de vapeur";"55";"µPa";25;"";""
"72619-32-0";"haloxyfop-R : ester methylique";"Solubilité dans l'eau";"6.9";"mg/L";20;"5";""
"72619-32-0";"haloxyfop-R : ester methylique";"Solubilité dans l'eau";"9.1";"mg/L";20;"";""
"72619-32-0";"haloxyfop-R : ester methylique";"Solubilité dans l'eau";"7.9";"mg/L";20;"7";""
"870721-81-6";"heptamaloxyloglucan";"Constante de Henry";"0.24 e-13";"Pa.m3/mol";20;"";""
"870721-81-6";"heptamaloxyloglucan";"Log P";"-15,96";"";;"";""
"870721-81-6";"heptamaloxyloglucan";"pka";"";"";;"";""
"870721-81-6";"heptamaloxyloglucan";"Pression de vapeur";"1.1 10-11";"Pa";20;"";""
"870721-81-6";"heptamaloxyloglucan";"Solubilité dans l'eau";">500";"g/L";20;"";""
"78587-05-0";"hexythiazox";"Constante de Henry";"1,19 e-2";"Pa.m3/mol";20;"";""
"78587-05-0";"hexythiazox";"Log P";"=2,67";"";25;"";""
"78587-05-0";"hexythiazox";"pka";"";"";;"";""
"78587-05-0";"hexythiazox";"Pression de vapeur";"<1,33";"µPa";25;"";""
"78587-05-0";"hexythiazox";"Pression de vapeur";"3,38";"µPa";20;"";""
"78587-05-0";"hexythiazox";"Solubilité dans l'eau";"0,1";"mg/L";20;"5";""
"78587-05-0";"hexythiazox";"Solubilité dans l'eau";"0,1";"mg/L";20;"7";""
"78587-05-0";"hexythiazox";"Solubilité dans l'eau";"0,1";"mg/L";20;"9";""
"8002-13-9";"huile de colza";"Constante de Henry";"1.49";"Pa.m3/mol";;"";""
"8002-13-9";"huile de colza";"Log P";"23,3";"";;"";""
"8002-13-9";"huile de colza";"Pression de vapeur";"< 100";"µPa";;"";""
"8002-13-9";"huile de colza";"Solubilité dans l'eau";"<1";"ug/L";;"";""
"8000-34-8";"huile de girofle";"Constante de Henry";"0.2";"Pa.m3/mol";;"";""
"8000-34-8";"huile de girofle";"Log P";"2,25";"";;"4";""
"8000-34-8";"huile de girofle";"Log P";"2,01";"";;"10";""
"8000-34-8";"huile de girofle";"Log P";"2,04";"";;"7";""
"8000-34-8";"huile de girofle";"pka";"10";"";;"";""
"8000-34-8";"huile de girofle";"Pression de vapeur";"12.2";"Pa";25;"";""
"8000-34-8";"huile de girofle";"Solubilité dans l'eau";"2.17";"g/L";20;"";""
"8008-79-5";"huile de menthe verte";"Log P";"2,4";"";;"";"L-CARVONE"
"8008-79-5";"huile de menthe verte";"pka";"";"";;"";""
"72623-86-0";"huile de paraffine (CAS 72623-86-0)";"Pression de vapeur";"1,4";"mPa";25;"";""
"8028-48-6 (orange oil)";"huile essentielle d'orange";"Constante de Henry";"1580";"Pa.m3/mol";;"";"D-LIMONENE"
"8028-48-6 (orange oil)";"huile essentielle d'orange";"Log P";"4,23";"";;"";"D-LIMONÈNE"
"8028-48-6 (orange oil)";"huile essentielle d'orange";"Log P";"5,3";"";;"";"D-LIMONÈNE"
"8028-48-6 (orange oil)";"huile essentielle d'orange";"pka";"";"";;"";""
"8028-48-6 (orange oil)";"huile essentielle d'orange";"Pression de vapeur";"160";"Pa";20;"";"D-LIMONENE"
"8028-48-6 (orange oil)";"huile essentielle d'orange";"Pression de vapeur";"120";"Pa";20;"";"HUILE D'ORANGE"
"8028-48-6 (orange oil)";"huile essentielle d'orange";"Solubilité dans l'eau";"13.8";"mg/L";25;"";"D-LIMONÈNE"
"123-33-1";"hydrazide maleique";"Constante de Henry";"	4.05 x 1^-8";"Pa.m3/mol";20;"";""
"123-33-1";"hydrazide maleique";"Log P";"-1,83";"";20;"7";""
"123-33-1";"hydrazide maleique";"Log P";"-1,78";"";20;"10";""
"123-33-1";"hydrazide maleique";"Log P";"-0,636";"";20;"4";""
"123-33-1";"hydrazide maleique";"pka";"5,64";"";20;"";""
"123-33-1";"hydrazide maleique";"Pression de vapeur";"3,1x10^-6";"Pa";25;"";""
"123-33-1";"hydrazide maleique";"Solubilité dans l'eau";"50,2";"g/L";;"7";""
"123-33-1";"hydrazide maleique";"Solubilité dans l'eau";"3,80";"g/L";20;"3,5";""
"123-33-1";"hydrazide maleique";"Solubilité dans l'eau";"4,56";"g/L";20;"5";""
"298-14-6";"hydrogénocarbonate de potassium";"Solubilité dans l'eau";"332";"g/L";20;"";""
"148-24-3";"hydroxy-8-quinoleine";"Constante de Henry";"1,83x10^-3";"Pa.m3/mol";;"";""
"148-24-3";"hydroxy-8-quinoleine";"Log P";"1,264";"";22;"4,13";""
"148-24-3";"hydroxy-8-quinoleine";"Log P";"1,88";"";22;"9,15";""
"148-24-3";"hydroxy-8-quinoleine";"Log P";"1,915";"";22;"7,1";""
"148-24-3";"hydroxy-8-quinoleine";"pka";"9,45";"";25;"";""
"148-24-3";"hydroxy-8-quinoleine";"pka";"4,88";"";25;"";""
"148-24-3";"hydroxy-8-quinoleine";"Pression de vapeur";"1,1";"Pa";50;"";""
"148-24-3";"hydroxy-8-quinoleine";"Pression de vapeur";"0,019";"Pa";25;"";""
"148-24-3";"hydroxy-8-quinoleine";"Pression de vapeur";"0,0067";"Pa";20;"";""
"148-24-3";"hydroxy-8-quinoleine";"Solubilité dans l'eau";"0,663";"g/L";20;"7,1";""
"148-24-3";"hydroxy-8-quinoleine";"Solubilité dans l'eau";"0,847";"g/L";20;"9,15";""
"148-24-3";"hydroxy-8-quinoleine";"Solubilité dans l'eau";"2,44";"g/L";20;"4,13";""
"10004-44-1";"hymexazol";"Constante de Henry";"1,4x10-4";"Pa.m3/mol";;"";""
"10004-44-1";"hymexazol";"Log P";"1,01";"";25;"4";""
"10004-44-1";"hymexazol";"Log P";"";"";;"";""
"10004-44-1";"hymexazol";"Log P";"0,3";"";25;"7";""
"10004-44-1";"hymexazol";"pka";"5,92";"";20;"";""
"10004-44-1";"hymexazol";"Pression de vapeur";"0,182";"Pa";25;"";""
"10004-44-1";"hymexazol";"Solubilité dans l'eau";"67,8";"g/L";20;"9";""
"10004-44-1";"hymexazol";"Solubilité dans l'eau";"65,1";"g/L";20;"";""
"10004-44-1";"hymexazol";"Solubilité dans l'eau";"58,2";"g/L";20;"3";""
"35554-44-0";"imazalil";"Constante de Henry";"0.000108";"Pa.m3/mol";;"";""
"35554-44-0";"imazalil";"Log P";"2,63";"";;"5";""
"35554-44-0";"imazalil";"Log P";"3,82";"";;"9";""
"35554-44-0";"imazalil";"Log P";"3,66";"";;"7";""
"35554-44-0";"imazalil";"pka";"6,49";"";;"";""
"35554-44-0";"imazalil";"Pression de vapeur";"0.158";"mPa";25;"";""
"35554-44-0";"imazalil";"Solubilité dans l'eau";"0.184";"g/L";20;"7,6";""
"114311-32-9";"imazamox";"Constante de Henry";"4,9x10^-12";"Pa.m3/mol";;"";""
"114311-32-9";"imazamox";"Log P";"-3";"";20;"9";""
"114311-32-9";"imazamox";"Log P";"-2,9";"";20;"7";""
"114311-32-9";"imazamox";"Log P";"-0,3";"";20;"4";""
"114311-32-9";"imazamox";"pka";"+3,3";"";;"";""
"114311-32-9";"imazamox";"pka";"+10,8";"";;"";""
"114311-32-9";"imazamox";"pka";"+2,3";"";;"";""
"114311-32-9";"imazamox";"Pression de vapeur";"2,1x10^-10";"Pa";25;"";""
"114311-32-9";"imazamox";"Pression de vapeur";"6,3x10^-11";"Pa";20;"";""
"114311-32-9";"imazamox";"Solubilité dans l'eau";"21,53";"g/L";20;"4";""
"114311-32-9";"imazamox";"Solubilité dans l'eau";">574";"g/L";20;"7";""
"114311-32-9";"imazamox";"Solubilité dans l'eau";">505";"g/L";20;"9";""
"81335-37-7";"imazaquine";"Constante de Henry";"3,74 10-12";"Pa.m3/mol";20;"";""
"81335-37-7";"imazaquine";"Log P";"-1,43";"";20;"9";""
"81335-37-7";"imazaquine";"Log P";"-1,32";"";20;"10";""
"81335-37-7";"imazaquine";"Log P";"0,833";"";20;"4";""
"81335-37-7";"imazaquine";"Log P";"0,292";"";20;"5";""
"81335-37-7";"imazaquine";"Log P";"-1,09";"";20;"7";""
"81335-37-7";"imazaquine";"pka";"11,03";"";20;"";""
"81335-37-7";"imazaquine";"pka";"3,45";"";20;"";""
"81335-37-7";"imazaquine";"Pression de vapeur";"0,0007";"nPa";20;"";""
"81335-37-7";"imazaquine";"Pression de vapeur";"0,002";"nPa";25;"";""
"81335-37-7";"imazaquine";"Solubilité dans l'eau";"345";"g/L";20;"9";""
"81335-37-7";"imazaquine";"Solubilité dans l'eau";"102";"g/L";20;"7";""
"81335-37-7";"imazaquine";"Solubilité dans l'eau";"485";"mg/L";20;"5";""
"138261-41-3";"imidaclopride";"Constante de Henry";"1.7 x10-10";"Pa.m3/mol";20;"";""
"138261-41-3";"imidaclopride";"Log P";"0,57";"";21;"";""
"138261-41-3";"imidaclopride";"pka";"";"";;"";""
"138261-41-3";"imidaclopride";"Pression de vapeur";"9x10-10";"Pa";25;"";""
"138261-41-3";"imidaclopride";"Pression de vapeur";"4x10-10";"Pa";20;"";""
"138261-41-3";"imidaclopride";"Solubilité dans l'eau";"607";"mg/L";20;"4";""
"138261-41-3";"imidaclopride";"Solubilité dans l'eau";"601";"mg/L";20;"9";""
"138261-41-3";"imidaclopride";"Solubilité dans l'eau";"613";"mg/L";20;"5,5";""
"173584-44-6";"indoxacarbe";"Constante de Henry";"<6 e-5";"Pa.m3/mol";25;"";""
"173584-44-6";"indoxacarbe";"Log P";"4,6";"";;"";"RACEMIQUE"
"173584-44-6";"indoxacarbe";"Log P";"4,65";"";;"";"ISOMERE ACTIF"
"173584-44-6";"indoxacarbe";"pka";"";"";;"";""
"173584-44-6";"indoxacarbe";"Pression de vapeur";"4 e-10";"Pa";25;"";"RACEMIQUE"
"173584-44-6";"indoxacarbe";"Pression de vapeur";"1.9 e-10";"Pa";25;"";"ISOMERE ACTIF"
"173584-44-6";"indoxacarbe";"Solubilité dans l'eau";"15";"mg/L";25;"";"RACEMIQUE"
"173584-44-6";"indoxacarbe";"Solubilité dans l'eau";"0.2";"mg/L";;"";"ISMOMERE ACTIF"
"144550-36-7";"iodosulfuron";"Constante de Henry";"2.29x10^-11";"Pa.m3/mol";20;"";""
"144550-36-7";"iodosulfuron";"Log P";"-1,22";"";25;"9";""
"144550-36-7";"iodosulfuron";"Log P";"1,96";"";25;"4";""
"144550-36-7";"iodosulfuron";"pka";"3,22";"";;"";""
"144550-36-7";"iodosulfuron";"Pression de vapeur";"2.6x10^-9";"Pa";20;"";""
"144550-36-7";"iodosulfuron";"Pression de vapeur";"1.6x10^-8";"Pa";30;"";""
"144550-36-7";"iodosulfuron";"Pression de vapeur";"6.7x10^-9";"Pa";25;"";""
"144550-36-7";"iodosulfuron";"Solubilité dans l'eau";"20";"mg/L";;"4";""
"144550-36-7";"iodosulfuron";"Solubilité dans l'eau";"25";"g/L";;"7";""
"144550-36-7";"iodosulfuron";"Solubilité dans l'eau";"65";"g/L";;"9";""
"144550-36-7";"iodosulfuron";"Solubilité dans l'eau";"160";"mg/L";;"5";""
"125225-28-7";"ipconazole";"Constante de Henry";"3 x 10-5";"Pa.m3/mol";;"";""
"125225-28-7";"ipconazole";"Log P";"4,3";"";20;"";"TRANS"
"125225-28-7";"ipconazole";"Log P";"4,5";"";20;"";"CIS"
"125225-28-7";"ipconazole";"pka";"17,34";"";;"";""
"125225-28-7";"ipconazole";"pka";"-5,43";"";;"";""
"125225-28-7";"ipconazole";"pka";"-2,42";"";;"";""
"125225-28-7";"ipconazole";"pka";"2,32";"";;"";""
"125225-28-7";"ipconazole";"Pression de vapeur";"3";"µPa";25;"";""
"125225-28-7";"ipconazole";"Solubilité dans l'eau";"9,13";"mg/L";;"9";"CIS"
"125225-28-7";"ipconazole";"Solubilité dans l'eau";"8,68";"mg/L";;"7";"CIS"
"125225-28-7";"ipconazole";"Solubilité dans l'eau";"5,79";"mg/L";;"5";"TRANS"
"125225-28-7";"ipconazole";"Solubilité dans l'eau";"4,71";"mg/L";;"9";"TRANS"
"125225-28-7";"ipconazole";"Solubilité dans l'eau";"4,60";"mg/L";;"7";"TRANS"
"125225-28-7";"ipconazole";"Solubilité dans l'eau";"9,86";"mg/L";;"5";"CIS"
"140923-17-7";"iprovalicarbe";"Constante de Henry";"1.4x10^-6";"Pa.m3/mol";20;"";""
"140923-17-7";"iprovalicarbe";"Log P";"3,2";"";20;"";""
"140923-17-7";"iprovalicarbe";"pka";"";"";;"";""
"140923-17-7";"iprovalicarbe";"Pression de vapeur";"2.1x10^-7";"Pa";25;"";""
"140923-17-7";"iprovalicarbe";"Pression de vapeur";"7.9x10^-8";"Pa";20;"";""
"140923-17-7";"iprovalicarbe";"Solubilité dans l'eau";"17.8";"mg/L";20;"";""
"875915-78-9";"isofétamide";"Log P";"2,5";"";40;"";""
"875915-78-9";"isofétamide";"pka";"";"";;"";""
"875915-78-9";"isofétamide";"Pression de vapeur";"4,2x10^-7";"Pa";25;"";""
"875915-78-9";"isofétamide";"Solubilité dans l'eau";"5,33";"mg/L";20;"";""
"881685-58-1";"isopyrazam";"Constante de Henry";"3,7x10^-5";"Pa.m3/mol";;"";"anti"
"881685-58-1";"isopyrazam";"Constante de Henry";"1,9x10^-4";"Pa.m3/mol";;"";"syn"
"881685-58-1";"isopyrazam";"Log P";"4,4";"";25;"7,8";"anti"
"881685-58-1";"isopyrazam";"Log P";"4,1";"";25;"7,3";"syn"
"881685-58-1";"isopyrazam";"pka";"";"";;"";""
"881685-58-1";"isopyrazam";"Pression de vapeur";"0,022";"µPa";20;"";"anti isomer"
"881685-58-1";"isopyrazam";"Pression de vapeur";"0,24";"µPa";20;"";"syn isomer"
"881685-58-1";"isopyrazam";"Solubilité dans l'eau";"0,00055";"g/L";25;"7";"anti"
"881685-58-1";"isopyrazam";"Solubilité dans l'eau";"0,00105";"g/L";25;"7";"syn"
"82558-50-7";"isoxaben";"Constante de Henry";"1.96 10-4";"Pa.m3/mol";20;"";""
"82558-50-7";"isoxaben";"Log P";"3,89";"";20;"5 à 7";""
"82558-50-7";"isoxaben";"Log P";"3,37";"";20;"10";""
"82558-50-7";"isoxaben";"pka";"9,78";"";20;"";""
"82558-50-7";"isoxaben";"Pression de vapeur";"0.55";"µPa";20;"";""
"82558-50-7";"isoxaben";"Pression de vapeur";"0.97";"µPa";25;"";""
"82558-50-7";"isoxaben";"Solubilité dans l'eau";"0.8";"mg/L";20;"5";""
"82558-50-7";"isoxaben";"Solubilité dans l'eau";"0.93";"mg/L";20;"7";""
"82558-50-7";"isoxaben";"Solubilité dans l'eau";"1.8";"mg/L";20;"10";""
"141112-29-0";"isoxaflutole";"Constante de Henry";"1.87x10^-5";"Pa.m3/mol";20;"";""
"141112-29-0";"isoxaflutole";"Log P";"2,34";"";20;"";""
"141112-29-0";"isoxaflutole";"pka";"";"";;"";""
"141112-29-0";"isoxaflutole";"Pression de vapeur";"1x10^-6";"Pa";25;"";""
"141112-29-0";"isoxaflutole";"Pression de vapeur";"3,22x10^-7";"Pa";20;"";""
"141112-29-0";"isoxaflutole";"Solubilité dans l'eau";"6,8";"mg/L";20;"5";""
"141112-29-0";"isoxaflutole";"Solubilité dans l'eau";"6.2";"mg/L";20;"5,5";""
"1332-58-7";"kaolin";"pka";"";"";;"";""
"143390-89-0";"kresoxim methyl";"Constante de Henry";"3.6 x10^-4";"Pa.m3/mol";;"";""
"143390-89-0";"kresoxim methyl";"Log P";"+3,4";"";25;"";""
"143390-89-0";"kresoxim methyl";"pka";"";"";;"";""
"143390-89-0";"kresoxim methyl";"Pression de vapeur";"2.3x10^-6";"Pa";20;"";""
"143390-89-0";"kresoxim methyl";"Solubilité dans l'eau";"2";"mg/L";20;"";""
"91465-08-6";"lambda cyhalothrine";"Constante de Henry";"0.02";"Pa.m3/mol";20;"";""
"91465-08-6";"lambda cyhalothrine";"Log P";"5,5";"";20;"";""
"91465-08-6";"lambda cyhalothrine";"pka";"";"";;"";""
"91465-08-6";"lambda cyhalothrine";"Pression de vapeur";"2*10^-7";"Pa";20;"";""
"91465-08-6";"lambda cyhalothrine";"Solubilité dans l'eau";"5";"ug/L";20;"6,5";""
"91465-08-6";"lambda cyhalothrine";"Solubilité dans l'eau";"4";"ug/L";20;"9,2";""
"91465-08-6";"lambda cyhalothrine";"Solubilité dans l'eau";"4";"ug/L";20;"5";""
"9008-22-4";"laminarine";"Constante de Henry";"<3,45x10-7";"Pa.m3/mol";23;"";""
"9008-22-4";"laminarine";"Log P";"-1,6";"";;"";""
"9008-22-4";"laminarine";"Pression de vapeur";"<2,6 x 10-5";"Pa";25;"";""
"9008-22-4";"laminarine";"Solubilité dans l'eau";"301,5";"g/L";23;"";""
"2164-08-1 ";"lenacile";"Constante de Henry";"1,3x10-7";"Pa.m3/mol";;"";""
"2164-08-1 ";"lenacile";"Log P";"1,69";"";25;"7";""
"2164-08-1 ";"lenacile";"Log P";"1,7";"";25;"4";""
"2164-08-1 ";"lenacile";"Log P";"1,25";"";25;"10";""
"2164-08-1 ";"lenacile";"pka";"10,7";"";25;"";""
"2164-08-1 ";"lenacile";"Pression de vapeur";"1,7x10-9";"Pa";25;"";""
"2164-08-1 ";"lenacile";"Solubilité dans l'eau";"4";"mg/L";20;"5";""
"2164-08-1 ";"lenacile";"Solubilité dans l'eau";"3,6";"g/L";20;"9";""
"2164-08-1 ";"lenacile";"Solubilité dans l'eau";"3";"mg/L";20;"7";""
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Constante de Henry";"6,17x10^-2";"Pa.m3/mol";20;"";""
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Log P";"2,3";"";20;"6 à 8";""
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Pression de vapeur";"5,6x10^-5";"Pa";25;"";""
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Solubilité dans l'eau";"0,2";"mg/L";20;"4 à 8";""
"8018-01-7 (formerly 8065-67-5)";"mancozebe";"Solubilité dans l'eau";"0,3";"mg/L";20;"9 à 10";""
"173662-97-0";"mandestrobine";"Constante de Henry";"6,66x10^-7";"Pa.m3/mol";20;"";""
"173662-97-0";"mandestrobine";"Log P";"3,51";"";25;"5";""
"173662-97-0";"mandestrobine";"Pression de vapeur";"9,15x10^-8";"Pa";25;"";""
"173662-97-0";"mandestrobine";"Pression de vapeur";"3,36x10^-8";"Pa";20;"";""
"173662-97-0";"mandestrobine";"Solubilité dans l'eau";"15,8";"mg/L";20;"7";""
"374726-62-2";"mandipropamide";"Constante de Henry";"< 9,2 x 10^-5";"Pa.m3/mol";25;"";""
"374726-62-2";"mandipropamide";"Log P";"3,2";"";25;"";""
"374726-62-2";"mandipropamide";"pka";"";"";;"";""
"374726-62-2";"mandipropamide";"Pression de vapeur";"< 9,4 x 10^-7";"Pa";20;"";""
"374726-62-2";"mandipropamide";"Pression de vapeur";"< 9,4 x 10^-7";"Pa";25;"";""
"374726-62-2";"mandipropamide";"Pression de vapeur";"< 9,4 x 10^-7";"Pa";50;"";""
"374726-62-2";"mandipropamide";"Solubilité dans l'eau";"4,2";"mg/L";25;"";""
"94-74-6";"MCPA";"Constante de Henry";"5.5 e-5";"Pa.m3/mol";25;"";""
"94-74-6";"MCPA";"Log P";"-0,8";"";;"7";""
"94-74-6";"MCPA";"Log P";"-1,07";"";;"9";""
"94-74-6";"MCPA";"Log P";"0,28";"";;"5";""
"94-74-6";"MCPA";"Log P";"2,7";"";;"1";""
"94-74-6";"MCPA";"pka";"3,73";"";20;"";""
"94-74-6";"MCPA";"pka";"3,73";"";25;"";""
"94-74-6";"MCPA";"Pression de vapeur";"4 e-4";"Pa";32;"";""
"94-74-6";"MCPA";"Pression de vapeur";"4 e-3";"Pa";45;"";""
"94-74-6";"MCPA";"Solubilité dans l'eau";"26.2";"g/L";25;"5";""
"94-74-6";"MCPA";"Solubilité dans l'eau";"293.9";"g/L";25;"7";""
"94-74-6";"MCPA";"Solubilité dans l'eau";"320.1";"g/L";25;"9";""
"94-81-5";"MCPB";"Constante de Henry";"3 e-5";"Pa.m3/mol";;"";""
"94-81-5";"MCPB";"Log P";"-0,17";"";20;"9";""
"94-81-5";"MCPB";"Log P";">2,37";"";20;"5";""
"94-81-5";"MCPB";"Log P";"1,32";"";20;"7";""
"94-81-5";"MCPB";"pka";"4,5";"";21;"";""
"94-81-5";"MCPB";"Pression de vapeur";"4";"µPa";25;"";""
"94-81-5";"MCPB";"Solubilité dans l'eau";"0.11";"g/L";20;"5";""
"94-81-5";"MCPB";"Solubilité dans l'eau";"4.4";"g/L";20;"7";""
"94-81-5";"MCPB";"Solubilité dans l'eau";"444";"g/L";20;"9";""
"16484-77-8";"mecoprop-P";"Constante de Henry";"5.7 e-5";"Pa.m3/mol";20;"";""
