(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) restrictions usage;(produit) restrictions usage libelle;(produit) Substances actives;(produit) fonctions;(produit) formulations;(produit) Etat d’autorisation;(produit) Date de retrait du produit;(produit) Date de première autorisation;(produit) Numéro AMM du produit de référence;(produit) Nom du produit de référence;
PPP;9200047;SCORIMD LIMB;;EDIALUX;Produit de référence;;;;;azaconazole (Azaconazole) 1.0 % | imazalil (Imazalil) 2.0 %;;Générateur d'aérosol;RETIRE;08/12/2003;01/12/1993;;;
PPP;9200049;SILA-BAC;;PIONEER SEMENCES SAS;Deuxième gamme;;;;;Lactobacillus plantarum (Lactobacillus plantarum)   | Streptococcus faecium (Streptococcus faecium)  ;;Microgranulé;RETIRE;11/10/2006;01/02/1992;8800037;INOCULANT PIONEER 1188;
PPP;9200052;PHYTROL;;EUPHYTOR;Produit de référence;;Emploi autorisé dans les jardins;;;roténone (Rotenone) 80.0 g/L;Adjuvant;Concentré émulsionnable;RETIRE;06/05/2011;01/02/1992;;;
PPP;9200053;SCAR TOTAL STA;;DEPROMA;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;08/12/2003;01/02/1992;8500302;SPICAGRAN;
PPP;9200055;PYRETOL;;EUPHYTOR;Produit de référence;;;;;roténone (Rotenone) 10.0 g/L | Pyrethres naturels (Pyrethres naturels) 5.0 g/L;Insecticide;Concentré émulsionnable;RETIRE;01/10/1999;01/02/1992;;;
PPP;9200057;RHIZOPON AA POUDRE 4%;;UNIPEX;Produit de référence;;;;;Acide b-indole butyrique (Acide b-indole butyrique) 4.0 %;;Poudre à pulvériser;RETIRE;22/05/2015;01/02/1992;;;
PPP;9200059;RHIZOPON AA POUDRE 8%;;UNIPEX;Produit de référence;;;;;Acide b-indole butyrique (Acide b-indole butyrique) 8.0 %;;Poudre à pulvériser;RETIRE;22/05/2015;01/02/1992;;;
PPP;9200061;RHIZOPON A POUDRE 0,5%;;UNIPEX;Produit de référence;;;;;Acide b-indole acetique (Acide b-indole acetique) 0.5 %;;Poudre à pulvériser;RETIRE;15/12/2011;01/02/1992;;;
PPP;9200063;RHIZOPON A POUDRE 0,7%;;UNIPEX;Produit de référence;;;;;Acide b-indole acetique (Acide b-indole acetique) 0.7 %;;Poudre à pulvériser;RETIRE;15/12/2011;01/02/1992;;;
PPP;9200064;RHIZOPON A POUDRE 1%;;UNIPEX;Produit de référence;;;;;Acide b-indole acetique (Acide b-indole acetique) 1.0 %;;Poudre à pulvériser;RETIRE;15/12/2011;01/02/1992;;;
PPP;9200065;RHIZOPON A COMPRIMES;;UNIPEX;Produit de référence;;;;;Acide b-indole acetique (Acide b-indole acetique) 20.0 %;;Comprimé;RETIRE;15/12/2011;01/02/1992;;;
PPP;9200074;PHOENIX 400 SC;;SANDOZ AGRO;Produit de référence;;;;;atrazine (Atrazine) 250.0 g/L | pyridate (Pyridate) 150.0 g/L;;Suspension concentrée;RETIRE;07/02/2003;01/10/1993;;;
PPP;9200075;TOTAL CIRANE GF 15;;TOTAL RAFFINAGE DISTRIBUTION  DIRECTION RECHERCHE;Produit de référence;;;;;cire (Cire) 50.0 % | Paraffine (Paraffine) 50.0 %;;Cire;RETIRE;28/06/2006;01/04/1992;;;
PPP;9200079;SUZAVOR LIQUIDE 30 NN;;SOCIETE DES PRODUITS DE FRANCE;Produit de revente;;;;;amitrole (Amitrole) 80.0 g/L | diuron (Diuron) 112.0 g/L | thiocyanate d'ammonium (Ammonium thiocyanate) 71.0 g/L;Herbicide;Suspension concentrée;RETIRE;10/08/2006;01/04/1992;9100074;TRADIANOL DAT 263;
PPP;9200081;DIANET VER;;FEDIAC;Produit de revente;;;;;lénacile (Lenacil) 1.2 % | néburon (Neburon) 1.8 %;Herbicide;Granulé;RETIRE;05/02/1998;01/04/1992;8500307;NEBULENE GR 375;
PPP;9200082;DIANET ECO P;;FEDIAC;Produit de revente;;;;;lénacile (Lenacil) 12.0 % | néburon (Neburon) 18.0 %;Herbicide;Poudre mouillable;RETIRE;05/02/1998;01/04/1992;8500308;NEBULENE 30;
PPP;9200083;ANTI MALADIE  PRET A L'EMPLOI;;RECKITT ET COLMAN;Produit de référence;;;;;penconazole (Penconazole) 0.15 g/L;;Emulsion de type aqueux;RETIRE;28/06/2006;01/04/1993;;;
PPP;9200085;FONGICIDE ROSIERS CONCENTRE;;RECKITT ET COLMAN;Produit de référence;;;;;penconazole (Penconazole) 15.0 g/L;;Liquide;RETIRE;28/06/2006;01/04/1993;;;
PPP;9200087;NEBULAB;;INTERPHYTO;Deuxième gamme;;;;;néburon (Neburon) 60.0 %;Herbicide;Poudre mouillable;RETIRE;05/02/1998;01/04/1992;7800016;NEBUREE;
PPP;9200089;COLZALAB;;BAYER SAS;Deuxième gamme;;;;;napropamide (Napropamide) 450.0 g/L;Herbicide;Liquide;RETIRE;08/07/2002;01/04/1992;8800603;COLZAMID;
PPP;9200090;HORMOLAB DP;;BAYER SAS;Produit de revente;;;;;dichlorprop sel d'amine (Dichlorprop) 350.0 g/L | mécoprop sel d'amine (Mecoprop) 150.0 g/L | MCPA sel d'amine (MCPA) 100.0 g/L;Herbicide;Liquide;RETIRE;08/07/2002;01/04/1992;7700146;TRIORMONE DP;
PPP;9200092;NAJA;;ARYSTA LIFESCIENCE;Produit de référence;;;;;fenpyroximate (Fenpyroximate) 50.0 g/L;;Suspension concentrée;RETIRE;01/10/1996;01/04/1993;;;
PPP;9200093;ACARYL 240;;DOW AGROSCIENCES SAS;Produit de référence;;;;;propargite (Propargite) 240.0 g/L | tetradifon (Tetradifon) 40.0 g/L;Insecticide;Emulsion de type aqueux;RETIRE;08/12/2003;01/10/1993;;;
PPP;9200094;CENTAURE;;DOW AGROSCIENCES SAS;Produit de référence;;;;;clomazone (Clomazone) 18.6 g/L | linuron (Linuron) 100.0 g/L | trifluraline (Trifluralin) 250.0 g/L;Herbicide;Concentré émulsionnable;RETIRE;10/03/2008;01/04/1993;;;
PPP;9200099;DPH 4;;AGRIBRANDS EUROPE FRANCE;Produit de référence;;;;;Cellulase (Cellulase) 52.0 % | Lactobacillus plantarum (Lactobacillus plantarum) 17.6 % | Pediococcus acidilactici (Pediococcus acidilactici) 22.8 %;;Poudre à pulvériser;RETIRE;11/10/2006;01/04/1992;;;
PPP;9200102;BASTA GREEN;;BAYER SAS;Produit de référence;;Emploi autorisé dans les jardins;;;glufosinate ammonium (Glufosinate) 120.0 g/L;Herbicide;Liquide;RETIRE;12/10/2010;01/06/1994;;;
PPP;9200104;TECNICLEAN;;CARDEL;Produit de revente;;;;;glyphosate sel d'isopropylamine (Glyphosate) 90.0 g/L;;Liquide;RETIRE;04/04/2003;01/04/1992;8600440;AZURAL;
PPP;9200105;ECOSUR SEC;;ICI BIOPRODUCTS AND FINE      CHEMICAL;Produit de référence;;;;;Lactobacillus plantarum (Lactobacillus plantarum) 6.0 g/kg;;Poudre à pulvériser;RETIRE;11/10/2006;01/04/1992;;;
PPP;9200108;MASSIF NET 30;;JOHN ET STEPHEN B.;Produit de revente;;;;;lénacile (Lenacil) 12.0 % | néburon (Neburon) 18.0 %;Herbicide;Poudre mouillable;RETIRE;05/02/1998;01/04/1992;8500308;NEBULENE 30;
PPP;9200109;MASSIF NET GR 375;;JOHN ET STEPHEN B.;Produit de revente;;;;;lénacile (Lenacil) 1.2 % | néburon (Neburon) 1.8 %;Herbicide;Granulé;RETIRE;05/02/1998;01/04/1992;8500307;NEBULENE GR 375;
PPP;9200110;VILMORIN INSECTIVIL LIQUIDE SP;;OXADIS;Produit de revente;;Emploi autorisé dans les jardins;;;alpha-cyperméthrine (Alpha-Cypermethrin) 3.0 g/L;Insecticide;Emulsion de type aqueux;RETIRE;;01/04/1992;8900119;FASTAC 3,0 EAT;
PPP;9200112;INSECTIVIL VEGETAL VILMORIN;;OXADIS;Produit de référence;;Emploi autorisé dans les jardins;;;roténone (Rotenone) 2.0 %;;Concentré émulsionnable;RETIRE;26/04/2011;01/04/1992;;;
PPP;9200114;GOLIATH C.J;;Evergreen Garden Care France SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;glyphosate sel d'isopropylamine (Glyphosate) 120.0 g/L;Herbicide;Liquide;RETIRE;04/04/2003;01/04/1992;8600392;ECLIPSE;
PPP;9200116;ECRIN;;DOW ELANCO SA;Produit de référence;;;;;carboxine (Carboxin) 198.0 g/L | thirame (Thiram) 198.0 g/L;Fongicide;Liquide;RETIRE;06/02/2004;01/04/1992;;;
PPP;9200118;JARDI GAZON M;;NUFARM S.A;Produit de référence;;Emploi autorisé dans les jardins;;;2,4-D sel d'amine (2,4-D) 16.0 g/L | mécoprop sel d'amine (Mecoprop) 117.3 g/L | MCPA sel d'amine (MCPA) 16.0 g/L;;Liquide;RETIRE;04/05/2011;01/04/1992;;;
PPP;9200121;BLAZER 2L;;BASF FRANCE SAS;Produit de revente;;;;;acifluorfène (Acifluorfen) 240.0 g/L;Herbicide;Liquide;RETIRE;08/12/2003;01/10/1992;8800839;TACKLE;
PPP;9200123;TREPLIK DUO;;CYANAMID AGRO;Produit de référence;;;;;néburon (Neburon) 500.0 g/L | pendiméthaline (Pendimethalin) 400.0 g/L;Herbicide;Suspension concentrée;RETIRE;05/02/1998;01/04/1992;;;
PPP;9200124;TECTO FR;;SYNGENTA FRANCE SAS;Produit de revente;;;;;thiabendazole (Thiabendazole) 450.0 g/L;Fongicide;Liquide;RETIRE;06/02/2004;01/04/1992;7300083;MERTECT FLOWABLE;
PPP;9200125;QUINOLATE MG FILM;;SYNGENTA AGRO S.A.S.;Deuxième gamme;;;;;endosulfan (Endosulfan) 200.0 g/L | gamma-HCH (Gamma-HCH) 60.0 g/L | Oxyquinoleate de cuivre (Oxyquinoleate de cuivre) 40.0 g/L | résines (Resines) 70.0 g/L;Fongicide | Insecticide;Suspension concentrée;RETIRE;05/02/1998;01/04/1992;9000427;FILMOX ORANGE MG;
PPP;9200126;QUINOLATE AC FILM;;SYNGENTA AGRO S.A.S.;Deuxième gamme;;;;;anthraquinone (Anthraquinone) 151.0 g/L | Oxyquinoleate de cuivre (Oxyquinoleate de cuivre) 60.7 g/L | résines (Resines) 70.0 g/L;;Suspension concentrée;RETIRE;08/07/2002;01/04/1992;9000436;FILMOX ORANGE AC;
PPP;9200127;VITAVAX PRO 200;;CROMPTON UNIROYAL CHEMICAL REGISTRATIONS LTD UK;Produit de référence;;;;;carboxine (Carboxin) 198.0 g/L | thirame (Thiram) 198.0 g/L;Fongicide;Suspension concentrée;RETIRE;29/08/2006;01/04/1992;;;
PPP;9200128;FISONS MASTIC A CICATRISER;;SCAC FISONS;Produit de revente;;;;;Huile de pin (Huile de pin)  ;;Pâte fluide;RETIRE;28/06/2006;01/04/1992;8400364;MASTIC A CICATRISER L'HOMME LEFORT;
PPP;9200129;FISONS MASTIC A GREFFER;;SCAC FISONS;Produit de revente;;Emploi autorisé dans les jardins;;;Brai (Brai) 63.0 % | Cire d'abeille (Cire d'abeille) 8.0 % | Huile de resine (Huile de resine) 3.0 % | Poix (Poix) 12.0 %;ND;Pâte fluide;RETIRE;28/06/2006;01/04/1992;7400610;MASTIC A GREFFER LHOMME LEFORT;
PPP;9200130;TAUPISTOP;;SCAC FISONS;Produit de revente;;Emploi autorisé dans les jardins;;;Alpha-chloralose (Alpha-chloralose) 99.9 %;Taupicide;Poudre à pulvériser;RETIRE;28/06/2006;01/04/1992;8600110;ANTITAUPES 82;
PPP;9200131;SCASOL D;;COMPO FRANCE SAS;Produit de revente;;Emploi autorisé dans les jardins;;;diazinon (Diazinon) 10.0 %;Insecticide;Granulé;RETIRE;13/12/2007;01/04/1992;6500379;BASUDINE 10 GRANULE;
PPP;9200133;FISONS ANTI-LISERONS;;SCAC FISONS;Produit de référence;;Emploi autorisé dans les jardins;;;2,4-D sel d'amine (2,4-D) 100.0 g/L;Herbicide;Liquide;RETIRE;28/06/2006;01/04/1992;;;
PPP;9200134;FISONS INSECTICIDE VEGETAL ORIGINES;;SCAC FISONS;Produit de revente;;Emploi autorisé dans les jardins;;;roténone (Rotenone) 1.0 %;Adjuvant;Poudre à pulvériser;RETIRE;04/06/2004;01/04/1992;9100617;AGRI 2003 POUDRAGE;
PPP;9200136;TAFINEX;;SCAC FISONS;Produit de référence;;;;;thirame (Thiram) 80.0 %;;Poudre mouillable;RETIRE;01/12/1993;01/06/1992;;;
PPP;9200141;STEF-BIPLAN;;STEFES FRANCE;Deuxième gamme;;;;;bifénox (Bifenox) 166.0 g/L | isoproturon (Isoproturon) 333.0 g/L;;Suspension concentrée;RETIRE;06/02/2004;01/12/1994;9200033;PHYTO-BIPU;
PPP;9200143;NETOSOL;;AGRIPHAR SA;Produit de référence;;Emploi autorisé dans les jardins;;;chlorate de sodium (Chlorates) 60.0 %;Herbicide;Poudre soluble dans l'eau;RETIRE;08/01/2010;01/04/1992;;;
PPP;9200144;STING 2000;;MONSANTO SAS;Produit de référence;;;;;glyphosate sel d'isopropylamine (Glyphosate) 120.0 g/L | Fluoroglycofene-ethyl (ZZZ_OLD_Fluoroglycofene-ethyl) 20.0 %;;Liquide;RETIRE;04/04/2003;01/06/1993;;;
PPP;9200145;RPJ TRAITEMENT TOTAL AEROSOL;;Evergreen Garden Care France SAS;Produit de référence;;Emploi autorisé dans les jardins;;;bifenthrine (Bifenthrin) 0.1 g/L | propiconazole (Propiconazole) 0.1 g/L;Fongicide | Insecticide;Générateur d'aérosol;RETIRE;31/05/2010;01/12/1992;;;
PPP;9200148;BADINEB BIO PULVE;;LABORATOIRES PHAGOGENE DEC;Produit de référence;;;;;pyréthrines (Pyrethrins) 20.0 g/L | pipéronyl butoxide (Piperonyl butoxide) 160.0 g/L;;Concentré émulsionnable;RETIRE;09/10/2006;01/04/1992;;;
PPP;9200153;ASSERT 250;;BASF FRANCE SAS;Produit de référence;;;;;imazaméthabenz (Imazamethabenz) 250.0 g/L;;Suspension concentrée;RETIRE;29/06/2007;01/02/1996;;;
PPP;9200154;COLLAPSE;;ARYSTA LIFESCIENCE;Deuxième gamme;;;;;Bacillus thuringiensis subsp. kurstaki SOUCHE: ABTS 351 Collection de cultu (Bacillus thuringiensis subsp. kurstaki strain ABTS 351) 11300.0 UIAK/mg;;Liquide;RETIRE;13/10/2006;01/04/1992;8900142;FORAY;
PPP;9200158;TOPFLOR;;SEPRO CORPORATION;Produit de référence;;;;;flurprimidole (Flurprimidole) 15.0 g/L;Subst. Croiss.;Emulsion de type aqueux;RETIRE;15/06/2009;01/06/1993;;;
PPP;9200160;ALANAP L;;CROMPTON UNIROYAL CHEMICAL REGISTRATIONS LTD UK;Produit de revente;;;;;naptalame (Naptalam) 240.0 g/L;;Concentré soluble;RETIRE;28/06/2006;01/06/1992;7500128;AKSOL;
PPP;9200162;METAXOR GAZON GRANULES;;PURODOR;Produit de revente;;;;;dicamba sel d'amine (Dicamba) 0.13 % | MCPA sel d'amine (MCPA) 0.5 %;;Granulé;RETIRE;01/10/2006;01/10/1992;8100108 | 8100108;SHUNT | SHUNT;
PPP;9200163;METAXOR MASSIF ARBUSTES;;PURODOR;Produit de revente;;;;;lénacile (Lenacil) 1.2 % | néburon (Neburon) 1.8 %;Herbicide;Granulé;RETIRE;05/02/1998;01/06/1992;8500307;NEBULENE GR 375;
PPP;9200164;DAMISIL L'';;UNION LAITIERE NORMANDE;Produit de revente;;;;;Ferments lactiques lyophilises (Ferments lactiques lyophilises)  ;;Liquide;RETIRE;13/10/2006;01/06/1992;8900135;CAYLASIL;
PPP;9200166;ALAGAN ME;;ADAMA FRANCE SAS;Produit de référence;;;;;alachlore (Alachlor) 480.0 g/L;;Suspension concentrée;RETIRE;28/04/2007;01/10/1993;;;
PPP;9200170;ERBEX TRX;;ASSAINOL;Produit de revente;;;;;amitrole (Amitrole) 140.0 g/L | diuron (Diuron) 180.0 g/L | tébuthiuron (Tebuthiuron) 17.5 g/L;Herbicide;Liquide;RETIRE;01/10/1997;01/06/1992;8300303;SPICA 103 VPS;
PPP;9200173;DESHERBOX PM;;CIDEVCO (CIMELAK ESPACES VERTS);Produit de revente;;;;;lénacile (Lenacil) 12.0 % | néburon (Neburon) 18.0 %;Herbicide;Poudre mouillable;RETIRE;05/02/1998;01/06/1992;8500308;NEBULENE 30;
PPP;9200174;DESHERBOX GR;;CIDEVCO (CIMELAK ESPACES VERTS);Produit de revente;;;;;lénacile (Lenacil) 1.2 % | néburon (Neburon) 1.8 %;Herbicide;Granulé;RETIRE;05/02/1998;01/06/1992;8500307;NEBULENE GR 375;
PPP;9200178;ZODIAC TX;FLASHER PRO | FLASHER R;BAYER SAS;Produit de référence;;;;;diflufénicanil (Diflufenican) 100.0 g/L | isoproturon (Isoproturon) 500.0 g/L;;Suspension concentrée;RETIRE;05/12/2012;01/06/1993;;;
PPP;9200180;PYTHRINE;;COMPO FRANCE SAS;Produit de revente;;Emploi autorisé dans les jardins;;;alpha-cyperméthrine (Alpha-Cypermethrin) 3.0 g/L;Insecticide;Emulsion de type aqueux;RETIRE;31/07/2007;01/06/1992;8900119;FASTAC 3,0 EAT;
PPP;9200181;FONGISOUFRE;;SCAC FISONS;Produit de revente;;Emploi autorisé dans les jardins;;;soufre micronisé (Sulphur) 81.0 %;Fongicide;Poudre mouillable;RETIRE;13/10/2006;01/06/1992;5000014;MICROTHIOL;
PPP;9200182;BASF HJ INSECTICIDE POLYVALENT;;COMPO HORTICULTURE ET JARDIN SAS;Produit de revente;;Emploi autorisé dans les jardins;;;alpha-cyperméthrine (Alpha-Cypermethrin) 3.0 g/L;Insecticide;Liquide;RETIRE;16/09/2005;01/06/1992;8900119;FASTAC 3,0 EAT;
PPP;9200183;FISON HUILE INSECTICIDE ORIGINES;;SCAC FISONS;Produit de revente;;;;;Huile de petrole (Huile de petrole) 805.0 g/L;;Liquide;RETIRE;28/06/2006;01/06/1992;7000102;OVIPRON;
PPP;9200184;BASF HJ INSECTICIDE CHOC;;COMPO HORTICULTURE ET JARDIN SAS;Produit de revente;;Emploi autorisé dans les jardins;;;esfenvalérate (Esfenvalerate) 2.5 g/L;Insecticide;Liquide;RETIRE;16/03/2005;01/06/1992;9000480;SUMI-ALPHA 2,5 EAT;
PPP;9200186;BASF HJ PROTECTION TOTALE INSECTES ET MALADIES;;COMPO HORTICULTURE ET JARDIN SAS;Produit de référence;;Emploi autorisé dans les jardins;;;dicofol (Dicofol) 0.6 g/L | mancozèbe (Mancozeb) 1.3 g/L | Pyrethres naturels (Pyrethres naturels) 0.2 g/L | pipéronyl butoxide (Piperonyl butoxide) 1.6 g/L;Fongicide | Insecticide | Acaricide;Générateur d'aérosol;RETIRE;29/08/2007;01/06/1992;;;
PPP;9200188;TOT HERBE F;;CLAUSE;Produit de revente;;;;;amitrole (Amitrole) 167.0 g/L | bromacil (Bromacil) 46.0 g/L | diuron (Diuron) 134.0 g/L;Herbicide;Concentré soluble;RETIRE;08/12/2003;01/06/1992;8000530 | 8000530;KYTROL D | KYTROL D;
PPP;9200189;PARK ANTI INSECTES PULVERISATION;;HYDRO AZOTE SPECIALITES;Produit de revente;;;;;cyperméthrine (Cypermethrin) 10.0 g/L;Adjuvant;Liquide;RETIRE;15/06/1999;01/02/1993;8400218;RIPCORD 1 EAT;
PPP;9200190;PERFECT;;CEREXAGRI S.A.S.;Produit de revente;;;;;alachlore (Alachlor) 480.0 g/L;;Suspension aqueuse;RETIRE;28/06/2006;01/06/1992;9100374;CLORAL;
PPP;9200194;VITIS;;CEREXAGRI S.A.S.;Produit de revente;;;;;cyperméthrine (Cypermethrin) 15.0 g/L | fénitrothion (Fenitrothion) 300.0 g/L;;Suspension aqueuse;RETIRE;11/12/2007;01/06/1992;8800849;FLORIN;
PPP;9200196;OLYMP 10 EW;;DUPONT SOLUTIONS (FRANCE) S.A.S.;Deuxième gamme;;;;;flusilazole (Flusilazole) 100.0 g/L;Fongicide;Emulsion de type aqueux;RETIRE;04/08/2010;01/06/1992;9100577;APANAGE;
PPP;9200197;POLLINUS;;ARYSTA LIFESCIENCE;Produit de référence;;;;;Terpenes d'huile essentielle d'orange (ZZZ_OLD_Terpenes d'huile essentielle d'orange) 450.0 g/L;ND;Liquide;RETIRE;04/02/2000;01/06/1995;;;
PPP;9200200;POLYSECT 3P;;Evergreen Garden Care France SAS;Produit de revente;;Emploi autorisé dans les jardins;;;bifenthrine (Bifenthrin) 3.0 g/L;Insecticide | Acaricide;Emulsion de type aqueux;RETIRE;09/10/2006;01/06/1992;9100484;BUGLE 0.3 ME;
PPP;9200201;POLYSECT;;Evergreen Garden Care France SAS;Produit de revente;;Emploi autorisé dans les jardins;;;bifenthrine (Bifenthrin) 0.03 g/L;Insecticide;Emulsion de type aqueux;RETIRE;09/10/2006;01/06/1992;9100483;BUGLE PRET A L'EMPLOI;
PPP;9200202;GUEPARD;;SYNGENTA AGRO S.A.S.;Produit de référence;;;;;anthraquinone (Anthraquinone) 250.0 g/L | fonofos (Fonofos) 480.0 g/L | Oxyquinoleate de cuivre (Oxyquinoleate de cuivre) 150.0 g/L;;Suspension concentrée;RETIRE;08/07/2002;01/06/1992;;;
PPP;9200206;MUSIC;;PHYTEUROP;Produit de revente;;;;;chlorothalonil (Chlorothalonil) 250.0 g/L | tétraconazole (Tetraconazole) 62.5 g/L;Fongicide;Suspension aqueuse;RETIRE;29/08/2006;01/06/1992;9100372;EMINENT STAR;
PPP;9200209;CARBO-R;;CEREXAGRI S.A.S.;Produit de revente;;;;;carbofuran (Carbofuran) 5.0 %;;Microgranulé;RETIRE;05/10/2006;01/06/1992;9000723;CARBODAN 5 G;
PPP;9200213;QUATUOR;;DOW AGROSCIENCES SAS;Produit de revente;;;;;isoxabène (Isoxaben) 500.0 g/L;Herbicide;Suspension concentrée;RETIRE;08/07/2002;01/06/1992;9000803;CENT-NEUF;
PPP;9200216;KALEIS;;CFPI AGRO;Produit de référence;;;;;atrazine (Atrazine) 270.0 g/L | bromoxynil phenol (Bromoxynil) 180.0 g/L;;Suspension aqueuse;RETIRE;07/02/2003;01/06/1992;;;
PPP;9200218;TERNET ABD;;CIBA GEIGY;Produit de revente;;;;;amitrole (Amitrole) 160.0 g/L | bromacil (Bromacil) 45.0 g/L | diuron (Diuron) 130.0 g/L;Herbicide;Suspension concentrée;RETIRE;08/07/2002;01/06/1992;9100124;HERTIN BROMA D;
PPP;9200220;TERNET GRANULE BD;;CIBA GEIGY;Produit de revente;;;;;bromacil (Bromacil) 1.0 % | diuron (Diuron) 2.0 %;Herbicide;Granulé;RETIRE;01/10/1997;01/06/1992;9100123;HERTOG G3;
PPP;9200222;ACAPHID 5 G;;CIBA GEIGY;Produit de revente;;;;;disulfoton (Disulfoton) 5.0 %;;Microgranulé;RETIRE;08/07/2002;01/06/1992;6200110;DISYSTON;
PPP;9200223;RUSTIS;;CIBA GEIGY;Produit de revente;;;;;Sulfosate (Sulfosate) 480.0 g/L;Herbicide;Concentré soluble;RETIRE;08/07/2002;01/06/1992;9000300;OURAGAN;
PPP;9200224;OSLO;;SOPRA;Produit de référence;;;;;anthraquinone (Anthraquinone) 250.0 g/L | fonofos (Fonofos) 480.0 g/L | Oxyquinoleate de cuivre (Oxyquinoleate de cuivre) 150.0 g/L;;Suspension concentrée;RETIRE;08/07/2002;01/06/1992;;;
PPP;9200225;OURAVERT;;SOPRA;Produit de revente;;;;;Sulfosate (Sulfosate) 480.0 g/L;Herbicide;Liquide;RETIRE;08/07/2002;01/06/1992;9000300;OURAGAN;
PPP;9200226;HALLEY;;SOPRA;Produit de référence;;;;;éthyrimol (Ethirimol) 112.0 g/L | hexaconazole (Hexaconazole) 67.0 g/L;;Suspension concentrée;RETIRE;06/02/2004;01/10/1993;;;
PPP;9200227;QUOMADIN R;;BAYER SAS;Produit de revente;;;;;cyperméthrine (Cypermethrin) 10.0 g/L;Insecticide;Emulsion de type aqueux;RETIRE;15/06/2009;01/02/1993;8400218;RIPCORD 1 EAT;
PPP;9200228;CRESCENDO SP;;DOW AGROSCIENCES SAS;Produit de référence;;;;;isoxabène (Isoxaben) 125.0 g/L | linuron (Linuron) 120.0 g/L | trifluraline (Trifluralin) 240.0 g/L;Herbicide;Suspension concentrée;RETIRE;06/02/2004;01/06/1992;;;
PPP;9200237;TRADIANOL BR 42;;TRADI AGRI;Produit de référence;;;;;amitrole (Amitrole) 142.0 g/L | bromacil (Bromacil) 42.5 g/L | diuron (Diuron) 100.0 g/L;;Liquide;RETIRE;08/12/2003;01/10/1992;;;
PPP;9200238;TRADIANOL BR 195;;TRADI AGRI;Produit de référence;;;;;amitrole (Amitrole) 240.0 g/L | bromacil (Bromacil) 67.5 g/L | diuron (Diuron) 195.0 g/L;Herbicide;Liquide;RETIRE;08/12/2003;01/10/1992;;;
PPP;9200264;TCHAO;;MONSANTO SAS;Deuxième gamme;;;;;glyphosate sel d'isopropylamine (Glyphosate) 180.0 g/L | Polyoxyethylene amine (Polyoxyethylene amine) 530.0 g/L;Herbicide;Liquide;RETIRE;14/06/2005;01/10/1992;8600476;STING;
PPP;9200265;ARAIGNEES ROUGES RPJ;;Evergreen Garden Care France SAS;Produit de référence;;Emploi autorisé dans les jardins;;;dicofol (Dicofol) 50.0 g/L;Acaricide;Microémulsion;RETIRE;30/04/2009;01/06/1992;;;
PPP;9200271;FINAL RU;;BAYER SAS;Deuxième gamme;;Emploi autorisé dans les jardins;;;glufosinate ammonium (Glufosinate) 2.0 g/L;Herbicide;Concentré soluble;RETIRE;20/10/2010;01/06/1992;8900598;BASTA 2 GL;
PPP;9200272;SUP'ERB LIQUIDE;;HYGIENA;Produit de revente;;;;;amitrole (Amitrole) 240.0 g/L | bromacil (Bromacil) 67.5 g/L | diuron (Diuron) 195.0 g/L;Herbicide;Suspension concentrée;RETIRE;08/12/2003;01/10/1992;9200238;TRADIANOL BR 195;
PPP;9200275;SLUGA;;ARYSTA LIFESCIENCE;Produit de revente;;;;;metaldéhyde (Metaldehyde) 5.0 %;;Appât sur grains;RETIRE;11/09/2012;01/10/1992;8600112;ANTILIMACES ARVOR;
PPP;9200276;BIOSECURA 2;;WILLEMSE FRANCE;Produit de revente;;Emploi autorisé dans les jardins;;;roténone (Rotenone) 2.0 %;;Concentré émulsionnable;RETIRE;05/10/2006;01/06/1992;9100618;AGRI 2005;
PPP;9200279;OVATION;;SYNEXUS;Produit de référence;;;;;flupoxame (Flupoxam) 50.0 g/L | isoproturon (Isoproturon) 400.0 g/L;;Suspension aqueuse;RETIRE;08/07/2002;01/04/1993;;;
PPP;9200281;SANZERB 236;;HYGIENA;Produit de revente;;;;;2,4-D sel d'amine (2,4-D) 9.0 g/L | amitrole (Amitrole) 105.0 g/L | MCPA sel d'amine (MCPA) 12.0 g/L;;Liquide;RETIRE;28/06/2006;01/12/1993;8100386;HERTIN RBE;
PPP;9200282;GITEC;;BIOTECNAT;Produit de référence;;;;;Acide gibberellique (Acide gibberellique) 10.0 %;;Poudre à pulvériser;RETIRE;17/10/2006;01/02/1994;;;
PPP;9200283;FERIAL ORGE;;BAYER SAS;Produit de référence;;;;;imidaclopride (Imidacloprid) 350.0 g/L | tébuconazole (Tebuconazole) 15.0 g/L | triazoxide (Triazoxide) 10.0 g/L;Fongicide | Insecticide;Suspension concentrée;RETIRE;26/11/2010;01/10/1993;;;
PPP;9200284;PHYTO-ETHEQUAT;;STEFES FRANCE;Produit de référence;;;;;chlorméquat (Chlormequat) 300.0 g/L | éthéphon (Ethephon) 150.0 g/L;;Liquide;RETIRE;28/06/2006;01/10/1994;;;
