numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
9500452;BOUILLIE BORDELAISE RSR DISPERSS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500452;BOUILLIE BORDELAISE RSR DISPERSS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9900251;ISARD;H302;Nocif en cas d'ingestion;
9900251;ISARD;H315;Provoque une irritation cutanée;
9900251;ISARD;H317;Peut provoquer une allergie cutanée;
9900251;ISARD;H319;Provoque une sévère irritation des yeux;
9900251;ISARD;H400;Très toxique pour les organismes aquatiques;
9900251;ISARD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190065;LOVELL;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2090009;FLIGHT;H400;Très toxique pour les organismes aquatiques;
2090009;FLIGHT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130104;HOREME V200;H302;Nocif en cas d'ingestion;
2130104;HOREME V200;H400;Très toxique pour les organismes aquatiques;
2000125;BOUILLIE BORDELAISE EXPRESS;H318;Provoque des lésions oculaires graves;
2000125;BOUILLIE BORDELAISE EXPRESS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2000125;BOUILLIE BORDELAISE EXPRESS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2200273;FLEET;H361d;Susceptible de nuire au foetus;
2200273;FLEET;H400;Très toxique pour les organismes aquatiques;
2200273;FLEET;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200273;FLEET;EUH208;Contient fluazifop-P-butyl. Peut produire une réaction allergique;
2190492;TUCSAN;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110105;ZOXIS;H317;Peut provoquer une allergie cutanée;
2110105;ZOXIS;H332;Nocif par inhalation;
2110105;ZOXIS;H400;Très toxique pour les organismes aquatiques;
2110105;ZOXIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110063;TRITON SG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110063;TRITON SG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2060172;LIDAL;H302;Nocif en cas d'ingestion;
2060172;LIDAL;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2060172;LIDAL;H315;Provoque une irritation cutanée;
2060172;LIDAL;H319;Provoque une sévère irritation des yeux;
2060172;LIDAL;H336;Peut provoquer somnolence ou des vertiges;
2060172;LIDAL;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2150990;MET52 OD;H400;Très toxique pour les organismes aquatiques;
9500219;EPICURE;H302;Nocif en cas d'ingestion;
9500219;EPICURE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
9500219;EPICURE;H317;Peut provoquer une allergie cutanée;
9500219;EPICURE;H319;Provoque une sévère irritation des yeux;
9500219;EPICURE;H336;Peut provoquer somnolence ou des vertiges;
9500219;EPICURE;H360D;Peut nuire au foetus;
9500219;EPICURE;H400;Très toxique pour les organismes aquatiques;
9500219;EPICURE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090188;HOCKEY PRO 360;H319;Provoque une sévère irritation des yeux;
2090188;HOCKEY PRO 360;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090093;ROUNDUP FLASH PLUS;H319;Provoque une sévère irritation des yeux;
2140196;TRIMEO;H400;Très toxique pour les organismes aquatiques;
2140196;TRIMEO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190658;POMBAL F WG;H317;Peut provoquer une allergie cutanée;
2190658;POMBAL F WG;H319;Provoque une sévère irritation des yeux;
2190658;POMBAL F WG;H351;Susceptible de provoquer le cancer;
2190658;POMBAL F WG;H400;Très toxique pour les organismes aquatiques;
2190658;POMBAL F WG;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2150330;KATANGA EXPRESS;H319;Provoque une sévère irritation des yeux;
2080060;ADMIRAL PRO;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2080060;ADMIRAL PRO;H315;Provoque une irritation cutanée;
2080060;ADMIRAL PRO;H400;Très toxique pour les organismes aquatiques;
2080060;ADMIRAL PRO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2080060;ADMIRAL PRO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2190636;AZOXYSTAR 250;H400;Très toxique pour les organismes aquatiques;
2190636;AZOXYSTAR 250;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190636;AZOXYSTAR 250;EUH208;Contient de la 1,2-benzisothiazol-3-(2H)-one. Peut produire une réaction allergique.;
2170712;CHAMANE;H332;Nocif par inhalation;
2170712;CHAMANE;H400;Très toxique pour les organismes aquatiques;
2170712;CHAMANE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110147;GEOXE WG;H317;Peut provoquer une allergie cutanée;
2110147;GEOXE WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150484;FLORID;H335;Peut irriter les voies respiratoires;
2150484;FLORID;H400;Très toxique pour les organismes aquatiques;
2150484;FLORID;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150484;FLORID;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one . Peut produire une réaction allergique;
2170459;VIBRANCE DUO;H317;Peut provoquer une allergie cutanée;
2170459;VIBRANCE DUO;H332;Nocif par inhalation;
2170459;VIBRANCE DUO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2210139;CIRCUIT SYNC TEC;H351;Susceptible de provoquer le cancer;
2210139;CIRCUIT SYNC TEC;H400;Très toxique pour les organismes aquatiques;
2210139;CIRCUIT SYNC TEC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210139;CIRCUIT SYNC TEC;EUH208;Contient de la 1,2-benzisothiazolin-3(2H)-one et du métazachlore. Peut produire une réaction allergique;
2150009;REVUS START PEPITE;H302;Nocif en cas d'ingestion;
2150009;REVUS START PEPITE;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
2150009;REVUS START PEPITE;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2150009;REVUS START PEPITE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150009;REVUS START PEPITE;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9400280;PLEDGE;H361d;Susceptible de nuire au foetus;
9400280;PLEDGE;H400;Très toxique pour les organismes aquatiques;
9400280;PLEDGE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9400280;PLEDGE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2030071;WARIOR EXTRA;H318;Provoque des lésions oculaires graves;
2030071;WARIOR EXTRA;H361f;Susceptible de nuire à la fertilité;
2030071;WARIOR EXTRA;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2200620;SUNSET;H290;Peut être corrosif pour les métaux;
2200620;SUNSET;H318;Provoque des lésions oculaires graves;
2200620;SUNSET;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130253;KYLEO;H317;Peut provoquer une allergie cutanée;
2130253;KYLEO;H319;Provoque une sévère irritation des yeux;
2130253;KYLEO;H400;Très toxique pour les organismes aquatiques;
2130253;KYLEO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130253;KYLEO;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
9200493;EMBLEM;H302;Nocif en cas d'ingestion;
9200493;EMBLEM;H361d;Susceptible de nuire au foetus;
9200493;EMBLEM;H400;Très toxique pour les organismes aquatiques;
9200493;EMBLEM;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200493;EMBLEM;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2110013;EMBLEM FLO;H302;Nocif en cas d'ingestion;
2110013;EMBLEM FLO;H317;Peut provoquer une allergie cutanée;
2110013;EMBLEM FLO;H332;Nocif par inhalation;
2110013;EMBLEM FLO;H361d;Susceptible de nuire au foetus;
2110013;EMBLEM FLO;H400;Très toxique pour les organismes aquatiques;
2110013;EMBLEM FLO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2110013;EMBLEM FLO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9900042;IMPERIAL;H302;Nocif en cas d'ingestion;
9900042;IMPERIAL;H361d;Susceptible de nuire au foetus;
9900042;IMPERIAL;H400;Très toxique pour les organismes aquatiques;
9900042;IMPERIAL;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900042;IMPERIAL;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090071;MANILLE;H302;Nocif en cas d'ingestion;
2090071;MANILLE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2090071;MANILLE;H315;Provoque une irritation cutanée;
2090071;MANILLE;H317;Peut provoquer une allergie cutanée;
2090071;MANILLE;H319;Provoque une sévère irritation des yeux;
2090071;MANILLE;H336;Peut provoquer somnolence ou des vertiges;
2090071;MANILLE;H361d;Susceptible de nuire au foetus;
2090071;MANILLE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090071;MANILLE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160160;NESSIE;H302;Nocif en cas d'ingestion;
2160160;NESSIE;H317;Peut provoquer une allergie cutanée;
2160160;NESSIE;H318;Provoque des lésions oculaires graves;
2160160;NESSIE;H332;Nocif par inhalation;
2160160;NESSIE;H361d;Susceptible de nuire au foetus;
2160160;NESSIE;H400;Très toxique pour les organismes aquatiques;
2160160;NESSIE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090069;RAJAH;H302;Nocif en cas d'ingestion;
2090069;RAJAH;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2090069;RAJAH;H315;Provoque une irritation cutanée;
2090069;RAJAH;H317;Peut provoquer une allergie cutanée;
2090069;RAJAH;H319;Provoque une sévère irritation des yeux;
2090069;RAJAH;H336;Peut provoquer somnolence ou des vertiges;
2090069;RAJAH;H361d;Susceptible de nuire au foetus;
2090069;RAJAH;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090069;RAJAH;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2189996;OIKOS;H317;Peut provoquer une allergie cutanée;
2189996;OIKOS;H361d;Susceptible de nuire au foetus;
2189996;OIKOS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8800488;BANKO 500;H317;Peut provoquer une allergie cutanée;
8800488;BANKO 500;H318;Provoque des lésions oculaires graves;
8800488;BANKO 500;H335;Peut irriter les voies respiratoires;
8800488;BANKO 500;H351;Susceptible de provoquer le cancer;
8800488;BANKO 500;H400;Très toxique pour les organismes aquatiques;
8800488;BANKO 500;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800098;GOLTIX 90 ULTRADISPERSIBLE;H302;Nocif en cas d'ingestion;
9800098;GOLTIX 90 ULTRADISPERSIBLE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200753;KRYPT 540;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2200899;ARGOS;H226;Liquides et vapeurs inflammables;
2200899;ARGOS;H315;Provoque une irritation cutanée;
2200899;ARGOS;H317;Peut provoquer une allergie cutanée;
2200899;ARGOS;H319;Provoque une sévère irritation des yeux;
2200899;ARGOS;H400;Très toxique pour les organismes aquatiques;
2200899;ARGOS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8700746;OCTAVE;H400;Très toxique pour les organismes aquatiques;
8700746;OCTAVE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
7800575;TRADIANET M 400;H302;Nocif en cas d'ingestion;
7800575;TRADIANET M 400;H318;Provoque des lésions oculaires graves;
7800575;TRADIANET M 400;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9400008;ALIOS;H400;Très toxique pour les organismes aquatiques;
9400008;ALIOS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8000084;U 46 M BASF;H302;Nocif en cas d'ingestion;
8000084;U 46 M BASF;H318;Provoque des lésions oculaires graves;
8000084;U 46 M BASF;H400;Très toxique pour les organismes aquatiques;
8000084;U 46 M BASF;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8000084;U 46 M BASF;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800474;BOUILLIE BORDELAISE RSR DISPERSS NC;H318;Provoque des lésions oculaires graves;
9800474;BOUILLIE BORDELAISE RSR DISPERSS NC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800474;BOUILLIE BORDELAISE RSR DISPERSS NC;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2140147;DELTASTAR;H400;Très toxique pour les organismes aquatiques;
2140147;DELTASTAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150991;SYNOPSIS;H317;Peut provoquer une allergie cutanée;
2150991;SYNOPSIS;H319;Provoque une sévère irritation des yeux;
2150991;SYNOPSIS;H400;Très toxique pour les organismes aquatiques;
2150991;SYNOPSIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190608;SUNFIRE;H302;Nocif en cas d'ingestion;
2190608;SUNFIRE;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2190608;SUNFIRE;H400;Très toxique pour les organismes aquatiques;
2190608;SUNFIRE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190608;SUNFIRE;EUH208;Contient de la 1,2-benzisothiazolin-3-one. Peut produire une réaction allergique.;
8500174;VERTIMEC;H302;Nocif en cas d'ingestion;
8500174;VERTIMEC;H319;Provoque une sévère irritation des yeux;
8500174;VERTIMEC;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
8500174;VERTIMEC;H400;Très toxique pour les organismes aquatiques;
8500174;VERTIMEC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090118;TROOPER;H302;Nocif en cas d'ingestion;
2090118;TROOPER;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2090118;TROOPER;H315;Provoque une irritation cutanée;
2090118;TROOPER;H400;Très toxique pour les organismes aquatiques;
2090118;TROOPER;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200914;CELADA LB 400;H315;Provoque une irritation cutanée;
2200914;CELADA LB 400;EUH208;Contient de la 2-hydroxy-4-octoxybenzophenone. Peut produire une réaction allergique;
2050075;PICTOR PRO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2110086;MOVENTO;H317;Peut provoquer une allergie cutanée;
2110086;MOVENTO;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
2110086;MOVENTO;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2190613;AWARD;H317;Peut provoquer une allergie cutanée;
2190613;AWARD;H400;Très toxique pour les organismes aquatiques;
2190613;AWARD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2060130;SYNEÏS APPÂT;EUH208;Contient du 1,2-Benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2210203;BASAR;H317;Peut provoquer une allergie cutanée;
2210203;BASAR;H319;Provoque une sévère irritation des yeux;
2210203;BASAR;H400;Très toxique pour les organismes aquatiques;
2210203;BASAR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190722;CHANON;H351;Susceptible de provoquer le cancer;
2190722;CHANON;H400;Très toxique pour les organismes aquatiques;
2190722;CHANON;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190722;CHANON;EUH208;Contient de l'aclonifène et de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2150786;SHARPEN 33% EC;H302;Nocif en cas d'ingestion;
2150786;SHARPEN 33% EC;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2150786;SHARPEN 33% EC;H315;Provoque une irritation cutanée;
2150786;SHARPEN 33% EC;H319;Provoque une sévère irritation des yeux;
2150786;SHARPEN 33% EC;H400;Très toxique pour les organismes aquatiques;
2150786;SHARPEN 33% EC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200839;PROFI AZ 250 SC;H400;Très toxique pour les organismes aquatiques;
2200839;PROFI AZ 250 SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190907;METFIN 90;H319;Provoque une sévère irritation des yeux;
2190907;METFIN 90;H361d;Susceptible de nuire au foetus;
2190907;METFIN 90;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2190907;METFIN 90;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
5500179;TROPOTONE;H302;Nocif en cas d'ingestion;
5500179;TROPOTONE;H315;Provoque une irritation cutanée;
5500179;TROPOTONE;H318;Provoque des lésions oculaires graves;
5500179;TROPOTONE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
5500179;TROPOTONE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2130152;LUNA SENSATION;H302;Nocif en cas d'ingestion;
2130152;LUNA SENSATION;H400;Très toxique pour les organismes aquatiques;
2130152;LUNA SENSATION;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130152;LUNA SENSATION;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique.;
2200059;LIMOCIDE J;H319;Provoque une sévère irritation des yeux;
2200059;LIMOCIDE J;H332;Nocif par inhalation;
2200059;LIMOCIDE J;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2030404;BAROUD SC;H400;Très toxique pour les organismes aquatiques;
2030404;BAROUD SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8900564;MAVRIK FLO;H400;Très toxique pour les organismes aquatiques;
8900564;MAVRIK FLO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160713;RADIANT;H361f;Susceptible de nuire à la fertilité;
2160713;RADIANT;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2160713;RADIANT;H400;Très toxique pour les organismes aquatiques;
2160713;RADIANT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160713;RADIANT;EUH208;Contient de la spinétorame et de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2120075;NOVALL GOLD;H317;Peut provoquer une allergie cutanée;
2120075;NOVALL GOLD;H351;Susceptible de provoquer le cancer;
2120075;NOVALL GOLD;H400;Très toxique pour les organismes aquatiques;
2120075;NOVALL GOLD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140082;TRIMAXX;H315;Provoque une irritation cutanée;
2140082;TRIMAXX;H317;Peut provoquer une allergie cutanée;
2140082;TRIMAXX;H319;Provoque une sévère irritation des yeux;
2140082;TRIMAXX;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210387;BELVINE;H317;Peut provoquer une allergie cutanée;
2210387;BELVINE;H319;Provoque une sévère irritation des yeux;
2210387;BELVINE;H334;Peut provoquer des symptômes allergiques ou d'asthme ou des difficultés respiratoires par inhalation;
2210387;BELVINE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9400463;KEMIFAM FLOW;H317;Peut provoquer une allergie cutanée;
9400463;KEMIFAM FLOW;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200844;BETAGRI XD;H317;Peut provoquer une allergie cutanée;
2200844;BETAGRI XD;H400;Très toxique pour les organismes aquatiques;
2200844;BETAGRI XD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150011;HORIZON JARDIN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150011;HORIZON JARDIN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2210568;ZOOM;H315;Provoque une irritation cutanée;
2210568;ZOOM;H317;Peut provoquer une allergie cutanée;
2210568;ZOOM;H318;Provoque des lésions oculaires graves;
2210568;ZOOM;H332;Nocif par inhalation;
2210568;ZOOM;H335;Peut irriter les voies respiratoires;
2210568;ZOOM;H362;Peut être nocif pour les bébés nourris au lait maternel;
2210568;ZOOM;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2210036;BODY;H317;Peut provoquer une allergie cutanée;
2210036;BODY;H351;Susceptible de provoquer le cancer;
2210036;BODY;H400;Très toxique pour les organismes aquatiques;
2210036;BODY;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140156;ARIANE NEW;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2140156;ARIANE NEW;H315;Provoque une irritation cutanée;
2140156;ARIANE NEW;H317;Peut provoquer une allergie cutanée;
2140156;ARIANE NEW;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9000184;BOFIX;H317;Peut provoquer une allergie cutanée;
9000184;BOFIX;H319;Provoque une sévère irritation des yeux;
9000184;BOFIX;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2090170;KOCIDE OPTI;H302;Nocif en cas d'ingestion;
2090170;KOCIDE OPTI;H319;Provoque une sévère irritation des yeux;
2090170;KOCIDE OPTI;H332;Nocif par inhalation;
2090170;KOCIDE OPTI;H400;Très toxique pour les organismes aquatiques;
2090170;KOCIDE OPTI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090170;KOCIDE OPTI;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2060194;FORCE 1,5 G;H332;Nocif par inhalation;
2060194;FORCE 1,5 G;H400;Très toxique pour les organismes aquatiques;
2060194;FORCE 1,5 G;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200038;TEFLIX;H332;Nocif par inhalation;
2200038;TEFLIX;H400;Très toxique pour les organismes aquatiques;
2200038;TEFLIX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160408;KRUGA;H319;Provoque une sévère irritation des yeux;
2160408;KRUGA;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2170455;BEFLEX;H400;Très toxique pour les organismes aquatiques;
2170455;BEFLEX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9600398;ALLIAGE;H351;Susceptible de provoquer le cancer;
9600398;ALLIAGE;H400;Très toxique pour les organismes aquatiques;
9600398;ALLIAGE;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040109;MILLENIUM OPTI;H317;Peut provoquer une allergie cutanée;
2040109;MILLENIUM OPTI;H400;Très toxique pour les organismes aquatiques;
2040109;MILLENIUM OPTI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040109;MILLENIUM OPTI;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800555;ASTEROIDE;H413;Peut être nocif à long terme pour les organismes aquatiques;
9800555;ASTEROIDE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400536;BELCOCEL;H290;Peut être corrosif pour les métaux;
9400536;BELCOCEL;H301;Toxique en cas d'ingestion;
9400536;BELCOCEL;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2150215;BELURE-T;H400;Très toxique pour les organismes aquatiques;
2150215;BELURE-T;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2070221;RAPSAN TDI;H317;Peut provoquer une allergie cutanée;
2070221;RAPSAN TDI;H351;Susceptible de provoquer le cancer;
2070221;RAPSAN TDI;H400;Très toxique pour les organismes aquatiques;
2070221;RAPSAN TDI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2171251;RINIDI WG;H319;Provoque une sévère irritation des yeux;
2171251;RINIDI WG;H400;Très toxique pour les organismes aquatiques;
2171251;RINIDI WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2171143;FLUAZINOVA;H317;Peut provoquer une allergie cutanée;
2171143;FLUAZINOVA;H361d;Susceptible de nuire au foetus;
2171143;FLUAZINOVA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2080113;GLYFOS DAKAR;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2080113;GLYFOS DAKAR;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2200317;DAVAI;H319;Provoque une sévère irritation des yeux;
2200317;DAVAI;H332;Nocif par inhalation;
2200317;DAVAI;H400;Très toxique pour les organismes aquatiques;
2200317;DAVAI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2200039;BOTANIGARD OD;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2200775;PROFI DIFENO 250 EC;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2200775;PROFI DIFENO 250 EC;H319;Provoque une sévère irritation des yeux;
2200775;PROFI DIFENO 250 EC;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2200775;PROFI DIFENO 250 EC;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2200775;PROFI DIFENO 250 EC;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2170238;MESOIODOSTAR 30 WG;H318;Provoque des lésions oculaires graves;
2170238;MESOIODOSTAR 30 WG;H400;Très toxique pour les organismes aquatiques;
2170238;MESOIODOSTAR 30 WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180807;MERKUR;H400;Très toxique pour les organismes aquatiques;
2180807;MERKUR;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160839;MELUCINE 25SC;H400;Très toxique pour les organismes aquatiques;
2160839;MELUCINE 25SC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2170933;MEDAX MAX;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140199;PACIFICA XPERT;H317;Peut provoquer une allergie cutanée;
2140199;PACIFICA XPERT;H318;Provoque des lésions oculaires graves;
2140199;PACIFICA XPERT;H400;Très toxique pour les organismes aquatiques;
2140199;PACIFICA XPERT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2190686;REVYSTAR XL;H302;Nocif en cas d'ingestion;
2190686;REVYSTAR XL;H315;Provoque une irritation cutanée;
2190686;REVYSTAR XL;H317;Peut provoquer une allergie cutanée;
2190686;REVYSTAR XL;H319;Provoque une sévère irritation des yeux;
2190686;REVYSTAR XL;H332;Nocif par inhalation;
2190686;REVYSTAR XL;H335;Peut irriter les voies respiratoires;
